Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
Phosphonoacetaldehyde,16051-76-6,124.032,U.S. EPA CompTox Dashboard,1.51E-07,U.S. EPA CompTox Dashboard,0.82,OPERA (0.37),0,OPERA (0.49),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2.01,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Phosphonic acid, (phenylmethyl)-",6881-57-8,172.12,U.S. EPA CompTox Dashboard,1.69E-07,U.S. EPA CompTox Dashboard,0.64,OPERA (0.53),0,OPERA (0.6),9.5,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.23,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Phosphonic acid, (2-naphthalenylmethyl)-",16672-84-7,222.18,U.S. EPA CompTox Dashboard,1.34E-07,U.S. EPA CompTox Dashboard,0.29,OPERA (0.55),0,OPERA (0.52),9.4,ACD/Labs GALAS,13.5,ACD/Labs GALAS,0.78,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-(Perfluorohexyl)ethylphosphonic acid,252237-40-4,428.086,U.S. EPA CompTox Dashboard,1.92E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.75),0,OPERA (0.74),7.27,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.35,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1,4-butanediphosphonic acid",4671-77-6,218.082,U.S. EPA CompTox Dashboard,1.97E-07,U.S. EPA CompTox Dashboard,0.62,OPERA (0.27),8.56,OPERA (0.46),9.42,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.43,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Ethephon,16672-87-0,144.49,U.S. EPA CompTox Dashboard,8.23E-09,Wambaugh 2014,0.8,OPERA (0.36),0,OPERA (0.6),None,Sipes 2017,"1.79,8.28",Strope 2018,-1.42,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-",15827-60-8,573.198,U.S. EPA CompTox Dashboard,4.12E-07,U.S. EPA CompTox Dashboard,0.87,OPERA (0.53),0,OPERA (0.25),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-9.08,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Ethylenediamine tetrakis(methylene phosphonic acid),1429-50-1,436.123,U.S. EPA CompTox Dashboard,2.41E-07,U.S. EPA CompTox Dashboard,0.59,OPERA (0.27),0,OPERA (0.42),#NV,ACD/Labs GALAS,1.86,ACD/Labs GALAS,-5.81,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Aminotrimethylene phosphonic acid,6419-19-8,299.048,U.S. EPA CompTox Dashboard,9.05E-07,Wambaugh 2014,0.55,OPERA (0.33),0,OPERA (0.37),10.8,Sipes 2017,  8.13;  6.38;  4.64;  1.89;  1.19;  1.61,Sipes 2017,-4.63,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Medronic acid,1984-15-2,176.001,U.S. EPA CompTox Dashboard,1.31E-07,Wambaugh 2014,0.63,OPERA (0.27),8.69,OPERA (0.46),None,Sipes 2017,  8.44;  6.91;  2.32;  1.66,Sipes 2017,-4.09,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Fosfluconazole,194798-83-9,386.256,U.S. EPA CompTox Dashboard,2.94E-07,Wambaugh 2014,0.042,Lombardo 2018,123.05,OPERA (0.4),"2.57,1.99",Strope 2018,"0.87,5.95",Strope 2018,-1.23,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
5-PP-InsP5,149714-25-0,740.007,U.S. EPA CompTox Dashboard,3.09E-07,U.S. EPA CompTox Dashboard,0.89,OPERA (0.59),0,OPERA (0.2),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-9.71,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
4-Nitrophenylphosphate,330-13-2,219.089,U.S. EPA CompTox Dashboard,1.98E-07,U.S. EPA CompTox Dashboard,0.42,OPERA (0.44),0,OPERA (0.55),10.2,ACD/Labs GALAS,2.3,ACD/Labs GALAS,0.37,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Phenyl dihydrogen phosphate,701-64-4,174.092,U.S. EPA CompTox Dashboard,2.27E-07,Wambaugh 2014,0.39,OPERA (0.52),0,OPERA (0.64),None,Sipes 2017,  6.69;  1.91,Sipes 2017,-0.18,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Indoxyl phosphate,13822-19-0,213.129,U.S. EPA CompTox Dashboard,2.26E-07,U.S. EPA CompTox Dashboard,0.37,OPERA (0.43),21.05,OPERA (0.39),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.17,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Triclofos,306-52-5,229.37,U.S. EPA CompTox Dashboard,2.43E-07,U.S. EPA CompTox Dashboard,0.19,OPERA (0.48),0,OPERA (0.54),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.41,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-cyanoethyl dihydrogen phosphate,2212-88-6,151.058,U.S. EPA CompTox Dashboard,3.04E-07,U.S. EPA CompTox Dashboard,0.89,OPERA (0.62),8.23,OPERA (0.48),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.95,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
6:2 Fluorotelomer phosphate monoester,57678-01-0,444.085,U.S. EPA CompTox Dashboard,1.72E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.76),0,OPERA (0.51),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.77,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Bromoacetylethanolamine phosphate,52011-43-5,261.996,U.S. EPA CompTox Dashboard,1.51E-07,U.S. EPA CompTox Dashboard,0.87,OPERA (0.58),13.45,OPERA (0.46),#NV,ACD/Labs GALAS,6.1,ACD/Labs GALAS,-1.51,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dimemorfan phosphate,36304-84-4,353.399,U.S. EPA CompTox Dashboard,2.39E-07,Wambaugh 2014,0.53,OPERA (0.66),23.81,OPERA (0.56),8.95,Sipes 2017,None,Sipes 2017,4.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.05,ACD/Labs GALAS
Adenine phosphate,52175-10-7,233.124,U.S. EPA CompTox Dashboard,1.46E-07,U.S. EPA CompTox Dashboard,0.75,OPERA (0.59),0,OPERA (0.56),12.84,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.03,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Phenylphosphinic acid,1779-48-2,142.094,U.S. EPA CompTox Dashboard,2.22E-07,Wambaugh 2014,0.66,OPERA (0.54),0,OPERA (0.45),None,Sipes 2017,4.63,Sipes 2017,1.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Mebanazine sulfate,3979-76-8,234.27,U.S. EPA CompTox Dashboard,1.79E-07,Wambaugh 2014,0.45,OPERA (0.67),34.2,OPERA (0.51),  7.33; -1.84,Sipes 2017,None,Sipes 2017,1.25,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.76,ACD/Labs GALAS
1-Butyl-3-methylimidazolium hydrogensulfate,262297-13-2,236.29,U.S. EPA CompTox Dashboard,1.62E-07,Wambaugh 2014,0.75,OPERA (0.42),41.3,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-2.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Ethyl-3-methylimidazolium hydrogen sulfate,412009-61-1,208.23,U.S. EPA CompTox Dashboard,0.000151,U.S. EPA CompTox Dashboard,0.94,OPERA (0.68),11.05,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,-3.19,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Perfluorooctanesulfonic acid,1763-23-1,500.13,U.S. EPA CompTox Dashboard,4.048E-06,Wambaugh 2014,0.00363,Wetmore 2015,0,Wetmore 2012,None,Sipes 2017,-3.32,TNO,4.16,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Perfluorohexanesulfonic acid,355-46-4,400.11,U.S. EPA CompTox Dashboard,4.34E-06,U.S. EPA CompTox Dashboard,0.001342,Wetmore 2015,0,Wetmore 2015,#NV,ACD/Labs GALAS,-5.75,ACD/Labs GALAS,2.96,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Perfluoropentanesulfonic acid,2706-91-4,350.1,U.S. EPA CompTox Dashboard,1.78E-06,U.S. EPA CompTox Dashboard,0.01,OPERA (0.83),0,OPERA (0.81),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.42,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Perfluorobutanesulfonic acid,375-73-5,300.09,U.S. EPA CompTox Dashboard,1.68E-05,U.S. EPA CompTox Dashboard,0.01933,Wetmore 2015,1.152,Wetmore 2015,#NV,ACD/Labs GALAS,-5.83,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Perfluoro(2-ethoxyethane)sulfonic acid,113507-82-7,316.09,U.S. EPA CompTox Dashboard,2.32E-06,U.S. EPA CompTox Dashboard,0.01,OPERA (0.79),1.74,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.58,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Trifluoromethanesulfonic acid,1493-13-6,150.07,U.S. EPA CompTox Dashboard,2.04E-08,Wambaugh 2014,0.69,OPERA (0.46),0,OPERA (0.58),None,Sipes 2017,-1.16,Sipes 2017,-0.38,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Ethenesulfonic acid,1184-84-5,108.11,U.S. EPA CompTox Dashboard,6.77E-08,U.S. EPA CompTox Dashboard,0.86,OPERA (0.6),0,OPERA (0.42),#NV,ACD/Labs GALAS,11.81,ACD/Labs GALAS,-0.3,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-phenylethenesulfonic acid,2039-45-4,184.21,U.S. EPA CompTox Dashboard,8.2E-07,U.S. EPA CompTox Dashboard,0.14,OPERA (0.64),0,OPERA (0.5),#NV,ACD/Labs GALAS,10.1,ACD/Labs GALAS,1.83,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,3,4-Trinitrobenzene-1-sulfonic acid",31305-16-5,293.16,U.S. EPA CompTox Dashboard,1.03E-07,U.S. EPA CompTox Dashboard,0.12,OPERA (0.58),4.31,OPERA (0.51),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.16,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,4-Dinitrobenzenesulfonic acid",1989-02-01,248.17,U.S. EPA CompTox Dashboard,1.85E-07,Wambaugh 2014,0.15,OPERA (0.57),4.21,OPERA (0.52),None,Sipes 2017,0.14,Sipes 2017,0.62,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Trinitrobenzenesulfonic acid,2508-19-2,293.16,U.S. EPA CompTox Dashboard,1.04E-07,U.S. EPA CompTox Dashboard,0.11,OPERA (0.59),4.32,OPERA (0.51),-0.4,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"4,4'-Diisothiocyanato-2,2'-stilbenedisulfonic acid",152216-76-7,454.5,U.S. EPA CompTox Dashboard,1.42E-07,U.S. EPA CompTox Dashboard,0.03,OPERA (0.72),6.82,OPERA (0.5),-0.4,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.17,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Naphthalenedisulfonic acid,25167-78-6,288.29,U.S. EPA CompTox Dashboard,1.1E-07,U.S. EPA CompTox Dashboard,0.11,OPERA (0.58),5.88,OPERA (0.48),0.1,ACD/Labs GALAS,4.6,ACD/Labs GALAS,-0.16,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dihydro-dids,61481-03-6,456.52,U.S. EPA CompTox Dashboard,1.27E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.74),6.73,OPERA (0.5),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.04,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,3-dichlorobenzenesulfonic Acid",93648-06-7,227.06,U.S. EPA CompTox Dashboard,1.7E-07,U.S. EPA CompTox Dashboard,0.07,OPERA (0.68),0,OPERA (0.62),-0.4,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.66,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Azulenesulfonic acid,112504-30-0,208.23,U.S. EPA CompTox Dashboard,1.83E-07,U.S. EPA CompTox Dashboard,0.21,OPERA (0.64),1.92,OPERA (0.6),4.3,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.7,ACD/Labs Consensus logP,0,ACD/Labs,0,ACD/Labs GALAS
"Benzene-1,3-disulfonic acid",98-48-6,238.23,U.S. EPA CompTox Dashboard,8.98E-08,U.S. EPA CompTox Dashboard,0.43,OPERA (0.38),11.6,OPERA (0.36),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.26,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"4,4'-Dinitro-2,2'-stilbenesulfonic acid",128-42-7,430.36,U.S. EPA CompTox Dashboard,1.35E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.74),6.93,OPERA (0.5),0.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.88,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Benzenesulfonic acid, 3,3'-azobis[6-[2-(4-nitro-2-sulfophenyl)ethenyl]-",16473-79-3,796.72,U.S. EPA CompTox Dashboard,1.61E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.69),7.36,OPERA (0.5),3.2,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.4,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1-Naphthalenesulfonic acid, 3,4-dihydro-3,4-dioxo-",2066-93-5,238.21,U.S. EPA CompTox Dashboard,2.57E-07,U.S. EPA CompTox Dashboard,0.15,OPERA (0.57),3.14,OPERA (0.61),#NV,ACD/Labs GALAS,6.79,ACD/Labs GALAS,-0.28,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,4,5-Trichlorobenzenesulfonic acid",6378-25-2,261.5,U.S. EPA CompTox Dashboard,1.88E-07,Wambaugh 2014,0.08,OPERA (0.59),0,OPERA (0.66),None,Sipes 2017,0.57,Sipes 2017,2.46,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
4-Ethenylbenzenesulfonic acid,98-70-4,184.21,U.S. EPA CompTox Dashboard,8.47E-07,U.S. EPA CompTox Dashboard,0.31,OPERA (0.58),0,OPERA (0.46),#NV,ACD/Labs GALAS,10.1,ACD/Labs GALAS,0.95,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Benzenesulfonic acid, 4,4'-(3-(2-pyridinyl)-1,2,4-triazine-5,6-diyl)bis-",32796-55-7,470.47,U.S. EPA CompTox Dashboard,1.29E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.74),6.33,OPERA (0.49),1.38,ACD/Labs GALAS,8.1,ACD/Labs GALAS,0.01,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"[1,1'-Biphenyl]-4-sulfonic acid",2113-68-0,234.27,U.S. EPA CompTox Dashboard,1.41E-07,U.S. EPA CompTox Dashboard,0.03,OPERA (0.78),2.56,OPERA (0.57),#NV,ACD/Labs GALAS,5.5,ACD/Labs GALAS,1.12,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
4-Chlorobenzenesulphonic acid,98-66-8,192.61,U.S. EPA CompTox Dashboard,1.99E-07,Wambaugh 2014,0.29,OPERA (0.42),0,OPERA (0.38),None,Sipes 2017,0.77,Sipes 2017,1.33,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
3-Nitrobenzenesulfonic acid,98-47-5,203.17,U.S. EPA CompTox Dashboard,1.39E-07,U.S. EPA CompTox Dashboard,0.38,OPERA (0.39),3.3,OPERA (0.5),#NV,ACD/Labs GALAS,5.5,ACD/Labs GALAS,0.69,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzenesulfonic acid,1998-11-03,158.17,U.S. EPA CompTox Dashboard,4.4E-08,Wambaugh 2014,0.38,OPERA (0.47),7.08,OPERA (0.32),None,Sipes 2017,0.77,Sipes 2017,0.47,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
6-Anilino-1-naphthalenesulfonic acid,83662-03-7,299.34,U.S. EPA CompTox Dashboard,9.92E-08,U.S. EPA CompTox Dashboard,0.06,OPERA (0.72),3.38,OPERA (0.59),#NV,ACD/Labs GALAS,5.5,ACD/Labs GALAS,2.45,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Naphthalene-1-sulfonic acid,85-47-2,208.23,U.S. EPA CompTox Dashboard,1.8E-07,U.S. EPA CompTox Dashboard,0.09,OPERA (0.71),2.53,OPERA (0.57),-1.87,ACD/Labs GALAS,9.07,ACD/Labs GALAS,0.8,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
5-Anilinonaphthalene-1-sulfonic acid,20096-52-0,299.34,U.S. EPA CompTox Dashboard,1.09E-07,U.S. EPA CompTox Dashboard,0.07,OPERA (0.72),3.38,OPERA (0.59),#NV,ACD/Labs GALAS,8.1,ACD/Labs GALAS,2.45,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
8-Anilino-1-naphthalenesulfonic acid,82-76-8,299.34,U.S. EPA CompTox Dashboard,1.11E-07,U.S. EPA CompTox Dashboard,0.06,OPERA (0.72),0,OPERA (0.66),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.45,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"9,10-Dioxo-9,10-dihydroanthracene-2-sulfonic acid",84-48-0,288.27,U.S. EPA CompTox Dashboard,1.42E-07,U.S. EPA CompTox Dashboard,0.05,OPERA (0.72),3.79,OPERA (0.61),#NV,ACD/Labs GALAS,8.1,ACD/Labs GALAS,1.64,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1,3-Dioxo-2,3-dihydro-1H-isoindole-5-sulfonic acid",115953-80-5,227.19,U.S. EPA CompTox Dashboard,1.69E-07,U.S. EPA CompTox Dashboard,0.46,OPERA (0.45),0,OPERA (0.33),-1.6,ACD/Labs GALAS,10.5,ACD/Labs GALAS,-0.6,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1,3-Benzothiazole-6-sulfonic acid",145708-16-3,215.24,U.S. EPA CompTox Dashboard,1.79E-07,U.S. EPA CompTox Dashboard,0.25,OPERA (0.46),0,OPERA (0.64),#NV,ACD/Labs GALAS,4,ACD/Labs GALAS,0.26,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Naphthalene-2-sulfonic acid,120-18-3,208.23,U.S. EPA CompTox Dashboard,2.14E-07,Wambaugh 2014,0.09,OPERA (0.71),2.54,OPERA (0.57),None,Sipes 2017,0.85,Sipes 2017,0.8,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Ensulizole,27503-81-7,274.29,U.S. EPA CompTox Dashboard,1.76E-07,Wambaugh 2014,0.05,OPERA (0.7),0,OPERA (0.7),3.12,Sipes 2017, 10.49;  0.74,Sipes 2017,1.5,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"5,5'-Indigotindisulfonic acid",483-20-5,422.38,U.S. EPA CompTox Dashboard,3.01E-07,Wambaugh 2014,0.1,OPERA (0.58),6.32,OPERA (0.5),0.89,Sipes 2017,  9.87;  9.01;  0.21,Sipes 2017,1.63,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Naphthalene-1,3-disulfonic acid",6094-26-4,288.29,U.S. EPA CompTox Dashboard,8.77E-08,U.S. EPA CompTox Dashboard,0.11,OPERA (0.58),5.73,OPERA (0.48),-0.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.28,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,5-Dioxopyrrolidine-3-sulfonic acid",144285-93-8,179.15,U.S. EPA CompTox Dashboard,2.06E-07,U.S. EPA CompTox Dashboard,0.8,OPERA (0.62),3.04,OPERA (0.5),2.7,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,3-Dimercapto-1-propanesulfonic acid",74-61-3,188.27,U.S. EPA CompTox Dashboard,1.72E-07,U.S. EPA CompTox Dashboard,0.51,OPERA (0.58),0,OPERA (0.46),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.33,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-Bromoethanesulfonic acid,26978-65-4,189.02,U.S. EPA CompTox Dashboard,1.9E-07,U.S. EPA CompTox Dashboard,0.76,OPERA (0.48),0.37,OPERA (0.43),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.91,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
6:2 Fluorotelomer sulfonic acid,27619-97-2,428.16,U.S. EPA CompTox Dashboard,1.63E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.76),0,OPERA (0.8),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.47,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"butane-1,4-disulfonic acid",27665-39-0,218.24,U.S. EPA CompTox Dashboard,2.2E-07,U.S. EPA CompTox Dashboard,0.91,OPERA (0.57),6.13,OPERA (0.36),1.93,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-3.17,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
4-Morpholinepropanesulfonic acid,1132-61-2,209.26,U.S. EPA CompTox Dashboard,2.01E-07,Wambaugh 2014,0.98,OPERA (0.71),0,OPERA (0.64),7.78,Sipes 2017,-0.26,Sipes 2017,-1.91,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1-Propanesulfonic acid, 3-(cyclohexylamino)-",1135-40-6,221.32,U.S. EPA CompTox Dashboard,2.46E-07,U.S. EPA CompTox Dashboard,0.79,OPERA (0.47),0,OPERA (0.49),8.67,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.41,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"Propane-1,3-disulfonic acid",21668-77-9,204.21,U.S. EPA CompTox Dashboard,1.84E-07,U.S. EPA CompTox Dashboard,0.89,OPERA (0.6),6.12,OPERA (0.35),-1.44,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-4,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1,4-Piperazinediethanesulfonic acid",5625-37-6,302.36,U.S. EPA CompTox Dashboard,1.81E-07,U.S. EPA CompTox Dashboard,0.82,OPERA (0.38),0,OPERA (0.6),-1.2,ACD/Labs GALAS,13.42,ACD/Labs GALAS,-4.21,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
4-Morpholineethanesulfonic acid,4432-31-9,195.23,U.S. EPA CompTox Dashboard,2.65E-07,U.S. EPA CompTox Dashboard,0.99,OPERA (0.71),6.92,OPERA (0.46),7.4,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-2.13,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Bromotaurine,52316-57-1,204.04,U.S. EPA CompTox Dashboard,1.97E-07,U.S. EPA CompTox Dashboard,0.57,OPERA (0.3),0,OPERA (0.49),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.21,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Ethanesulfonic acid, 2-(cyclohexylamino)-",103-47-9,207.29,U.S. EPA CompTox Dashboard,2.02E-07,U.S. EPA CompTox Dashboard,0.65,OPERA (0.37),0,OPERA (0.56),-0.09,ACD/Labs GALAS,15.1,ACD/Labs GALAS,-0.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Chlorotaurine,51036-13-6,159.58,U.S. EPA CompTox Dashboard,2.2E-07,U.S. EPA CompTox Dashboard,0.77,OPERA (0.43),0,OPERA (0.63),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.32,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,2'-Dithiodiethanesulfonic acid",45127-11-5,282.36,U.S. EPA CompTox Dashboard,1.45E-07,U.S. EPA CompTox Dashboard,0.72,OPERA (0.52),0,OPERA (0.64),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.83,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Methiodal,143-47-5,222,U.S. EPA CompTox Dashboard,4.04E-07,U.S. EPA CompTox Dashboard,0.6,OPERA (0.42),0,OPERA (0.43),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.09,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Methanedisulfonic acid,503-40-2,176.16,U.S. EPA CompTox Dashboard,1.79E-07,U.S. EPA CompTox Dashboard,0.91,OPERA (0.57),6.1,OPERA (0.35),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-4.28,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
